DEFSTRING(CARDTEXT_NAME_BLOOD_SUCKER,	"Blood Sucker")
DEFSTRING(CARDTEXT_DESC_CHILLING_WINDS,	"Harsh screaming winds run through the land. For 2 rounds, characters in all Regions may only move 1 space per turn. Ghost characters may move as normal or reduce their movement by 1. The winds then abate to the discard pile.")
DEFSTRING(CARDTEXT_NAME_SOUL_STORM,	"Soul Storm")
DEFSTRING(CARDTEXT_DESC_SOUL_STORM,	"The King of the Dead is testing the boundaries of his realm. Place the top 5 cards of the Veil deck on top of the Adventure deck.")
DEFSTRING(CARDTEXT_NAME_DARK_BAPTISM,	"Dark Baptism")
DEFSTRING(CARDTEXT_DESC_DARK_BAPTISM,	"Reveal the top card of the Veil deck.\n\
If it is not an Enemy, encounter it as normal. Otherwise it becomes your familiar, you must take it as a Follower. As long as you have this Follower you may replace an Adventure Card drawn with a card from the Veil deck.")
DEFSTRING(CARDTEXT_NAME_INFERNAL_FIRE,	"Infernal Fire")
DEFSTRING(CARDTEXT_DESC_INFERNAL_FIRE,	"It is time for your punishment. Discard 1 Spell, 1 Object and 1 Follower and lose a life for each card you fail to discard this way.")
DEFSTRING(CARDTEXT_NAME_REBELIOUS_SPIRIT,	"Rebellious Spirit")
DEFSTRING(CARDTEXT_DESC_REBELIOUS_SPIRIT,	"While the Rebellious Spirit is your Follower you and your opponent must subtract 1 from your attack rolls for each trophy you have.")
DEFSTRING(CARDTEXT_NAME_GHOSTLY_MULE,		"Ghostly Mule")
DEFSTRING(CARDTEXT_DESC_GHOSTLY_MULE,		"You encounter the ghost of a mule that died after falling into a chasm. The Ghostly Mule will carry any number of Soulbound Objects for you. If you lose the Ghostly Mule, leave any surplus Objects of your choice in the space you are in.")
DEFSTRING(CARDTEXT_NAME_VENGEFUL_GUIDE,		"Vengeful Guide")
DEFSTRING(CARDTEXT_DESC_VENGEFUL_GUIDE,		"The spirit of the guide who you previously left for dead is not pleased to see you. While the Vengeful Guide is your Follower, you must subtract 1 from all of your die rolls.")
DEFSTRING(CARDTEXT_NAME_ORB_OF_THE_VEIL,	"Orb of the Veil")
DEFSTRING(CARDTEXT_DESC_ORB_OF_THE_VEIL,	"Whenever you draw a Veil or Adventure Card you may draw another card and then discard one that you do not wish to encounter.")
DEFSTRING(CARDTEXT_NAME_SPIRIT_EYE,			"Spirit Eye")
DEFSTRING(CARDTEXT_DESC_SPIRIT_EYE,			"When you engage an Enemy in psychic combat, you may discard the Eye after you make your attack roll to automatically win the psychic combat, regardless of your attack score.")
DEFSTRING(CARDTEXT_NAME_SCREAMING_SKULL,	"Screaming Skull")
DEFSTRING(CARDTEXT_DESC_SCREAMING_SKULL,	"Add 1 to your Craft in psychic combat.")
DEFSTRING(CARDTEXT_NAME_HEART_OF_NIGHT,		"Heart of Night")
DEFSTRING(CARDTEXT_DESC_HEART_OF_NIGHT,		"The Heart can carry an extra 1 Object for you. If you lose an attack, the victor may not take either the Heart or the Object stored inside. Similarly, neither may be taken by any character's special ability or Spell. If you lose the Heart you also lose any Object stored inside.")
DEFSTRING(CARDTEXT_NAME_SOUL_SEAL,			"Soul Seal")
DEFSTRING(CARDTEXT_DESC_SOUL_SEAL,			"The Seal contains the power of all the mysteries of the soul. All of your Objects and Followers become Soulbound.")
DEFSTRING(CARDTEXT_NAME_DIVINE_PRIESTESS,		"Divine Priestess")
DEFSTRING(CARDTEXT_DESC_DIVINE_PRIESTESS,		"You are blessed by the Divine Priestess, heal 1 life. If you are a Ghost character you may immediately be Resurrected at your starting space, then discard the Divine Priestess.")
DEFSTRING(CARDTEXT_NAME_LOST_MAIDEN,			"Lost Maiden")
DEFSTRING(CARDTEXT_DESC_LOST_MAIDEN,			"Move another faceup card on the board to this space and encounter it. If the Lost Warrior is drawn, discard the Lost Maiden.")
DEFSTRING(CARDTEXT_NAME_LOST_WARRIOR,			"Lost Warrior")
DEFSTRING(CARDTEXT_DESC_LOST_WARRIOR,			"Move the Lost Warrior to any space on the board with a faceup card on the board and destroy that card. If the Lost Maiden is drawn, discard the Lost Warrior.")
DEFSTRING(CARDTEXT_NAME_MEDIUM,					"Medium")
DEFSTRING(CARDTEXT_DESC_MEDIUM,					"Draw 1 Veil Card, you may encounter that card or place it facedown in front of any other character, that character must put it on top of the Adventure deck on the start of their turn.")
DEFSTRING(CARDTEXT_NAME_MISTWALKER,				"Mistwalker")
DEFSTRING(CARDTEXT_DESC_MISTWALKER,				"When revealed place a fate token on this card as a phase marker. If the phase marker is dark side up this card is treated as an Adventure Card, otherwise it is treated as a Veil Card. The Mistwalker will grant a character one of the following wishes of their choice whereupon they will phase between realms (flip the phase marker): Gain one Strength, Craft, life, or fate; or teleport to any space in this Region.")
DEFSTRING(CARDTEXT_NAME_SPECTRAL_SUMMON,		"Spectral Summon")
DEFSTRING(CARDTEXT_DESC_SPECTRAL_SUMMON,		"Cast on a space at the start of your turn. Move all Ghost characters and faceup Spirits on the board to that space.")
